"Subject Code","Catalog Number","Description"
"KINE","30803","Prerequisite: KINE 10603, TCU cumulative GPA and KINE major GPA of 2.5 or higher, or instructor permission.  Kinesiology majors only also need KINE 10101. An overview of common disabilities and the relationship to appropriate physical activity experiences. Stress is placed on learning how to develop and adapt programs for individuals with disabilities primarily in school physical and special educational settings."
"KINE","30833","Prerequisite: KINE 10101 and 10603, TCU cumulative GPA and KINE major GPA of 2.5 or higher, or instructor permission.  An overview of common disabilities and relationship to appropriate physical activity experiences.  Emphasis is placed on motor, fitness, and sport needs of persons with disabilities in clinical, therapeutic, and community settings."
"KINE","30843","Prerequisites: KINE 10101 and KINE 10603, TCU cumulative GPA and KINE major GPA of 2.5 or higher, or instructor permission.  This course provides in-depth information on the pathophysiology of various neuromuscular disorders.  An overview of motor control and atypical motor function will be presented as well as principles and clinical presentations of various motor disorders in a selected topics format."
"KINE","30990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"KINE","33990","-"
"KINE","40003","Prerequisites: Admission to the Honors College and senior standing, and KINE 30003 and 40103.  The second of two courses required for Departmental Honors in Kinesiology.  In this course, the candidate will carry out a program of research under the direction of a faculty member.  The student will conduct the actual research project, which includes the collection, analysis, interpretation, and presentation of the data.  The results of the research must be presented in poster format at the Harris College Research Symposium, and in the form of a paper written in research report format.  Credit will not be given for both KINE 40003 and 40793."
"KINE","40102","Prerequisite: ATTR majors only.  The review and evaluation of selected National Athletic Trainers' Association educational competencies and clinical proficiencies."
"KINE","40103","Prerequisite: Junior or senior MOSC or SPPS majors, TCU cumulative GPA and KINE major GPA of 2.5 or higher, or instructor permission.  An examination of current issues in the field of Kinesiology.  Emphasis is on a critical examination of research processes, and the application of research finds relevant to disciplines within Kinesiology."
"KINE","40202","Prerequisite: ATTR majors only.  The review and evaluation of selected National Athletic Trainers' Association educational competencies and clinical proficiencies."
"KINE","40301","Prerequisites:  ATTR majors only.  KINE 30303, 30313, 40523, and 40533.  This course will serve as a comprehensive overview of athletic training.  This course will provide the senior level athletic training student the opportunity to synthesize coursework and discuss the care of athletic injuries from the time of injury until return to play.  An overview and discussion of national, district, and state athletic training organizations will also be included."
"KINE","40303","Prerequisite: ATTR majors only.  This course provides the student with the background and skills necessary to administer and manage an athletic training program.  Topics such as athletic training program management, budget, insurance, facility design, legal issues, and ethics in the profession of athletic training will be discussed."
"KINE","40313","Prerequisite: KINE 10101 and 10603, TCU cumulative GPA of 2.5 or higher, or instructor permission.  The development of knowledge, skill and play relative to selected sports in the field of Physical Education and Coaching.  Focuses on phases of skill development and teaching progression."
"KINE","40343","Prerequisite: Kinesiology majors only need KINE 10101.  TCU cumulative GPA and KINE major GPA of 2.5 or higher, or instructor permission.  The development of knowledge, skill, and play relative to selected team and group sports and activities in the field of Physical Education and Recreation. Focuses on various phases of skill development and teaching progression."
"KINE","40503","Prerequisites: KINE 10603 and KINE 30503, TCU cumulative GPA and KINE major GPA of 2.5 or higher, or instructor permission. Kinesiology majors only also need KINE 10101.  Theoretical and practical applications of exercise assessment and exercise prescription in commercial fitness, community fitness, and cardiac rehabilitation."
"KINE","40513","Prerequisites: KINE 30523, TCU cumulative GPA and KINE major GPA of 2.5 or higher, or instructor permission.  This course will provide students with the theoretical and practical applications of strength training and conditioning.  The successful students will acquire a level of proficiency in the development of sport and event specific strength and conditioning programs and plans based upon: athlete / client specific fitness assessment characteristics, sports specific performance demands; and individual performance optimization.  Programs shall be based upon the performance requirements associated with the specific sport or event and include, but not be limited to: musculoskeletal symmetry, strength, and flexibility; body composition; cardiovascular endurance, and nutritional recommendations."
"KINE","40523","Prerequisite: ATTR majors only.  KINE 20203 or instructor permission.  The purpose of this course is enhancement of the athletic training student's understanding of the proper role of physical agents in the rehabilitation of sports related injuries.  Emphasis is placed in the physiological effects, indications and contraindications, and clinical application of thermal, electrical, and mechanical agents.  Appropriate selection of modalities for therapeutic intervention in connective tissue repair will be discussed."
"KINE","40533","Prerequisite: ATTR majors only. KINE 30303, KINE 30313, KINE 40523, or instructor permission.  This course is designed to teach the student to plan and implement sport-specific functional rehabilitation programs.  Emphasis is placed on development of comprehensive, individualized rehabilitation protocols incorporating open and closed kinetic chain activities, proprioceptive training techniques, plyometrics, core stability, and other functional activities based on predetermined therapeutic goals and objectives."
"KINE","40543","Prerequisites: KINE 10101, 40513, TCU cumulative GPA and KINE major GPA of 2.5 or higher, or instructor permission.  This course examines the function and adaptability of the various physiological systems involved in training for and participation in sport and tactical physical activity.  Further, this course examines the role training (resistance, anaerobic, and aerobic conditioning) plays, with special emphasis on manipulation of variables associated with training in improving performance.  In addition, nutritional intake, ergogenic aids, and overtraining are covered within the context of their effects on human performance."
"KINE","40623","Prerequisite: KINE 10101, 10603 and 20403, TCU cumulative GPA and KINE major GPA of 2.5 or higher, or instructor permission.  Examination of scope and value of Physical Education in the secondary schools. Factors essential to curriculum planning and instruction included. On-site clinical experiences."
"KINE","40633","Prerequisites: KINE 10101 and 20403, TCU cumulative GPA and KINE major GPA of 2.5 or higher, or instructor permission.  This course will prepare students to teach a state outcome-based outdoor education course in the secondary public schools.  It will prepare students in the areas of group and individual initiatives, low and high ropes initiatives, leadership activities, orienteering and overnight camping skills."
"KINE","40661","Prerequisites:  ATTR majors only, and instructor permission.  Internship opportunity that allows student to gain additional experiences in various Athletic Training settings.  Internships are during the summer and require approval by the Athletic Training Program Director."
"KINE","40700","Prerequisite: Instructor permission. This course will provide hands-on teaching opportunities at schools servicing a variety of individuals with disabilities. Students will participate in the planning and implementation of appropriate physical activity programs. On-site clinical experiences."
"KINE","40713","Prerequisites: must be a student in Harris College.  Permission of instructor(s) and meeting criteria established by the TCU Center for International Studies.  TCU cumulative GPA and KINE major GPA of 2.5 or higher, or instructor permission.  This course examines the cultures of Ireland in a combined local/international setting.  Social and scientific factors as related to health beliefs and practices and health care delivery systems of Ireland will be examined from an interprofessional perspective.  Critical analysis of selected topics will be accomplished.  Open to all majors in the Harris College.  This course will be taught during the spring semester with travel occurring over spring break."
"KINE","40723","Prerequisites:  Permission of instructor(s) and meeting criteria established by the TCU Center for International Studies.  TCU cumulative GPA and KINE major GPA of 2.5 or higher, or instructor permission.  This 3-week course is an international interprofessional education experience centered on health care and is designed for athletic training, nursing, and pre-health majors.  Students will experience the culture of Belize while developing familiarity with the role of health professionals in medical, sports medicine, and educational settings.  Students will engage in hands-on learning activities related to their discipline, visit academic universities training health professionals, and experience practice sites serving local populations.  Coursework and travel will occur during summer session."
"KINE","40760","Prerequisite: Senior standing and consent of department. TCU cumulative GPA and KINE major GPA of 2.5 or higher, or instructor permission.  Kinesiology majors only also need KINE 10101.  Practical experience in an area of Kinesiology (1-3 semester hours.)"
"KINE","40780","Prerequisite: Senior standing and permission of department.  TCU cumulative GPA and KINE major GPA of 2.5 or higher, or instructor permission.  Individual study involving research or other scholarly work in Kinesiology under the direction of a faculty member (1-3 semester hours.)"
"KINE","40793","Prerequisite: Senior standing and consent of department.  TCU cumulative GPA and KINE major GPA of 2.5 or higher, or instructor permission.  Students work with individual faculty on a research project in an area of interest. The project involves formation of hypotheses, collection of data, and data analysis and interpretation.  Credit will not be given for both KINE 40003 and 40793."
"KINE","40903","Prerequisite: Senior standing, a minimum of a 2.5 GPA in the major, and approval of the Kinesiology Department internship coordinator.  Internship for the movement based professions. Students work with local professionals in an area related to their career interest."
"KINE","50104","Prerequisites: Admission to Master of Science in Athletic Training Program. Develop an evidence-based approach to the clinical evaluation and diagnosis of lower and upper extremity pathologies."
"KINE","50113","Prerequisites:  Admission to Master of Science in Athletic Training Program.  Knowledge and skills necessary to administer and manage an athletic training program including record-keeping, budget, insurance, facility principles, legal issues and professional ethics."
"KINE","50124","Prerequisites:  Admission to Master of Science in Athletic Training Program.  Develop an evidence-based approach to the clinical evaluation and therapeutic intervention of head, neck and spine pathologies."
"KINE","50201","Prerequisites:  Admission to Master of Science in Athletic Training Program.  Integration of athletic training knowledge and skills with classroom instruction and supervised clinical experience."
"KINE","50214","Prerequisites: Admission to Master of Science in Athletic Training Program. Advanced knowledge and skills of therapeutic interventions in the treatment and rehabilitation of upper and lower musculoskeletal injuries."
"KINE","50224","Prerequisites:  Admission to Master of Science in Athletic Training Program.  Evaluation and treatment of general medical conditions seen by the practicing athletic trainer and pharmaceuticals used in the treatment of these conditions."
"KINE","50301","Prerequisites:  Admission to Master of Science in Athletic Training Program.  Integration of athletic training knowledge and skills with classroom instruction and supervised clinical experience."
"KINE","50970","Prerequisite: Approval of adviser and course instructor."
"KINE","51203","Prerequisites:  KINE 10101 and 10603.  Foundational and applied knowledge for conducting motor skill analysis of human movement activities."
"KINE","51413","Prerequisites:   Senior or graduate standing or permission of instructor.  This course provides an overview of the major theories, research methods; empirical findings; and practical applications within psychology of aging and physical activity."
"KINE","51423","Prerequisites:  Senior or graduate standing or permission of instructor.  This course will provide an overview of the psychosocial factors related to the prevention of and recovery from injuries in physical activities, including the theoretical foundations and psychological intervention strategies related to injury."
"KINE","55001","Prerequisites:  Admission to Master of Science in Athletic Training Program.  Introduction to the Athletic Training Profession and implementation of knowledge and skills in an initial immersive practice setting."
"KINE","55013","Prerequisites:  Admission to Master of Science in Athletic Training Program.  Evaluation and management of acute and emergency conditions."
"KINE","55023","Prerequisites: Admission to Master of Science in Athletic Training Program. Foundational knowledge and skills of therapeutic interventions in the treatment and rehabilitation of musculoskeletal injuries."
"KINE","55033","Prerequisites:  Admission to Master of Science in Athletic Training Program.  Foundational knowledge and skills of the musculoskeletal evaluation process."
"KINE","55042","Prerequisites:  Admission to Master of Science in Athletic Training Program.  Methods and procedures utilized in research and the evidence-based approach to making clinical decisions in athletic training."
"LANG","10000","General Transfer Credit"
"LANG","10020","General Transfer Credit"
"LANG","10153","Transfer work in a foreign language not offered at TCU."
"LANG","10163","Transfer work in a foreign language not offered at TCU."
"LANG","10200","General Transfer Credit"
"LANG","20000","General Transfer Credit"
"LANG","20000","General Transfer Credit"
"LANG","20020","General Transfer Credit"
"LANG","20053","Transfer work in a foreign language not offered at TCU."
"LANG","20063","Transfer work in a foreign language not offered at TCU."
"LANG","20990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"LANG","30000","Upper Level LANG generic course"
"LANG","30990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"LAST","40003","Prerequisites:  SPAN 32703 or 32803 or equivalent.
This is a critical study of contemporary Latin America from an interdisciplinary perspective within the social sciences, the humanities, and the arts, among others.  This capstone course brings together the study of language, culture, and literature.  Course must be taken in residence at TCU during the senior year."
"LTNX","20003","This course is an introduction to the study of characteristics and experiences of the Latina/o community in the United States.  As we review the historical, social, political, religious, anthropological aspects, among others, we will evaluation the diversity within the community in order to locate this group within the United States society.  Finally, we will concentrate on topics that are relevant to this group, like immigration, transnationalism, popular culture, among others."
"MANA","10200","General Transfer Credit"
"MANA","10533","Topics may vary each time it is offered."
"MANA","20653","3 hours.  Prerequisites: Business minor and ACCT 20653 with minimum grade of C.   This course will examine legal issues that arise in the course of doing business.  Following an introduction to court systems and dispute resolution, the course will examine various business torts, contract law, the law of principal and agent, intellectual property, employment law and securities regulation."
"MANA","20970","Prerequisite:  Must be a business major. (1-6 semester hours) This course may be repeated for credit."
"MANA","20990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript will be included in the student's grade point average."
"MANA","30153","3 hours. Prerequisite: Sophomore standing, and must be a declared pre-business or declared business major.  Tasks of the manager are studied in the context of his/her role as an administrative decision maker. Emphasis placed on understanding the organization as a system where the manager needs to examine a variety of variables in order to arrive at problem solutions. Management processes, system concepts, models for decision making, and behavioral concepts involving motivation, leadership, group activity, conflict and change are covered.  Students may not receive credit for both MANA 30153 and MANA 30653."
"MANA","30250","1.5 hours. Prerequisite: Sophomore standing and must be a business major. Corequisite: Concurrent enrollment in MANA 40250 is required. This course covers essential skills in Organizational Behavior, including individual differences and
perspective taking, motivation and performance management, leadership and power, communication, interpersonal relationships and networks, and conflict and negotiation. Students are strongly encouraged to take this course early in their program to get an overview of topics associated with the Management major and Leadership Minor."
"MANA","30313","Prerequisites:  MANA 30153 with a grade of at least C or concurrent enrollment, and must be a declared business major.  This course and BUSI 30833 cannot both be taken for credit.  This course is designed to provide an in-depth analysis of leadership development from theoretical and practical perspectives.  An emphasis is placed on opportunities for introspection regarding the manifestation and application of leadership competencies.  Throughout the course, an effort is also made to assist class members with strengthening selected leadership skills that can contribute to their professional effectiveness, career success, and general well-being.  To accomplish the learning goals of this course, varying instructional methodologies will be employed--including, lectures, cases, experiential exercises, self-assessments/reflection, and discussion."
"MANA","30323","Prerequisites:  MANA 30153 with a grade of at least C or concurrent enrollment, and must be a declared business major.  This course is intended to enhance students' ability to think critically and to apply this thinking to solving meaningful organizational problems--particularly the ambiguous strategic and leadership problems that managers frequently face.  Students will practice identifying problems in organizations and working to analyze key factors in order to provide solutions.  Specific attention will be given to issues such as problem identification, distinguishing reliable and unreliable information, spotting flawed arguments and constructing persuasive ones, awareness of cognitive biases and unwarranted assumptions, and how to research, develop, and present viable solutions."
"MANA","30653","Prerequisites:  ECON 10223.  Must be a business minor or receive departmental approval; completion of ACCT 20653 or concurrent enrollment.  Students may not receive credit for both MANA 30653 and MANA 30153.  Survey of Management is a required course within the business school minor that exposes students to the basic knowledge and skills that future managers will need to be effective.  A student in this course will learn about the environment of business and the issues facing modern managers and employees such as how to engage in effective decision making, planning, and strategic processes that help guide organizations; how to best organize and manage organizations for maximum effectiveness; how to lead and motivate employees and how to work in teams."
"MANA","30703","Prerequisites: Sophomore standing; must be a declared Business minor, or receive permission of the department.  The course will provide students with foundational experience in countries with emerging economies.  The goal is to provide understanding of how to do business in countries with emerging economies and how businesses operate in the base of the pyramid.  Specific attention will be provided to the culture of entrepreneurship. This course is not intended for Business majors."
"MANA","30990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript will be included in the student's grade point average."
"MANA","39990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"MANA","40030","Prerequisite: Departmental permission, and must be a declared Business major.  Preparation for and completion of a departmental honors project in the student's area of concentration in business under the direction of an assigned faculty member.  May be taken for up to three credit hours."
"MANA","40153","3 hours. Prerequisite: Senior standing, declared Business major, MANA 30153 or MANA 30253, MARK 30153, FINA 30153, and INSC 30313. Students are strongly encouraged to enroll in this class during their final two semesters before graduation.  This is the final integrating course for the senior business student. The policies and problems of management with respect to coordination of production, finance, marketing, human resources and accounting in a going concern under conditions of uncertainty."
"MANA","40203","Prerequisite: MANA 30153 with a grade of at least C or concurrent enrollment,  and must be a declared Business major.  The study of how organizations align HR and people management practices with business strategy to gain competitive advantage.  Explores techniques and topics that contribute to an effective work system, including: job design, planning and recruitment, selection, training and development, team-based systems, compensation and incentives, turnover, workforce analytics, and employment law."
"MANA","40213","Prerequisites:  BUSI 30843 with a grade of at least C for students in the BNSF Neeley Leadership Program.  For others, MANA 30153 with a grade of at least C, and must be a business major.  Modern organizational work frequently takes place within the boundaries of teams of various types (face-to-face, virtual, or hybrid teams).  Understanding how teams function and how best to manage them has become vitally important for successful leadership.  The purpose of this course is to expose students to and provide opportunities for them to apply practical knowledge of team dynamics.  Emphasis is placed on how to create a team environment and lead a team to promote creativity, psychological safety, cohesion, permission to fail and learn, and inclusivity.  Students in this class will also utilize a framework such as design thinking or systems thinking in a team environment to understand and solve problems."
"MANA","40223","3 hours. Prerequisite: MANA 30153 with a grade of at least C, and must be a declared Business major.  In an increasingly interconnected world, companies find themselves on the one hand forced to contend with a host of new competitors, but on the other hand facing a broad range of new opportunities for expansion abroad.  This course addresses both the pitfalls and opportunities that await mangers tasked with setting a direction for their organizations in this changing environment."
"MANA","40250","Prerequisites:  1.5 hours. Sophomore standing and must be a business major. Corequisite: Concurrent enrollment in MANA 30250 is required. This course covers essentials of Strategy, including internal and external analysis, business and external strategy, and strategic leadership.  Students are strongly encouraged to take this course early in their program to get an overview of topics associated with the Management major and Leadership Minor."
"MANA","40323","Prerequisites:  MANA 30153 and 30323 (with a grade of at least C in both), FINA 30153 (concurrent enrollment in FINA 30153 is acceptable), and must be a declared business major.  Concurrent enrollment in MANA 30323 is not allowed.  Managers and consultants are commonly called upon to solve complex problems that require them to possess a unique set of skills.  Specifically, they must be able to identify and assess problems, research available options, and create and propose possible solutions.  This course introduces the research skills needed to address complex organizational problems.  It also introduces practice of consultancy and gives students opportunities to apply their skills in realistic consulting contexts."
"MANA","40343","Prerequisites:  MANA 30153 with a grade of at least C, and must be a declared business major; permission of department required for non-business majors.  Diversity--be it gender, cultural, racial, or some other form--is pervasive in modern workplaces.  Successful leaders must operate within this diversity, overcoming the challenges that can occur when coordinating people with different perspectives and experiences, but also reaping the rewards of those differences (e.g., creativity and innovation).  This course examines leadership skills at the intersection of diversity and business.  Students will explore how diversity impacts leaders' and employees' perceptions and behaviors, and in turn, how these shape important individual and organizational outcomes.  The course will also look at how organizations can meet the needs of diverse employees and other stakeholders."
"MANA","40633","3 hours.  Prerequisites: MANA 30153 with a grade of C, and must be a Business major.  Study of distributive and integrative/principled methods of negotiation in interpersonal and intraorganizational contexts.  Includes such topics as negotiation strategies, tactics, preparation, social structure, power, ethics, coalition building, and multi-party and international negotiations.  Conflict resolution techniques that incorporate negotiation (such as mediation) will also be covered."
"MANA","40703","3 hours.  Prerequisites: permission of instructor is required, must be a declared Business major. The objective of the class is to expose students to different aspects of entrepreneurship, leadership, management, and business legal issues from an international perspective.  The course provides the opportunity to study variations in business practices and experience distinct cultures in stark clarity in an international setting.  Students will have the opportunity to experience topically relevant practices, for example by visiting local firms and interacting with business people in order to obtain a firsthand understanding of the impact of global influences.  This course may be repeated for credit."
"MANA","40753","3 hours.  Prerequisites: MANA 30153 with a least a grade of C, and must be a declared Business major.  This course addresses ethical conduct and social responsibility in organizations.  A multi-level approach to ethical decision-making is explored.  Students will apply individual, managerial, and organizational analyses to ethical dilemmas faced in the conduct of business."
"MANA","40970","Prerequisite:  Must be a declared business major. (1-6 semester hours) This course may be repeated for credit."
"MARK","20990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"MARK","30113","3 hours. Prerequisites: Grade of C- or higher in MARK 30153; INSC 20153, and must be a declared Business major.   Obtaining market information; orientation in use of information gathered; role of management in initiating market studies and in defining problems; types of research; research design; questionnaire construction; sampling; analysis; motivation research; and product research."
"MARK","30153","3 hours. Prerequisite: Sophomore standing, and must be a Business major.   Students may not receive credit for both MARK 30153 and MARK 30653.  The processes in our society by which needs and wants of consumers are anticipated and satisfied. An examination of a systems approach to and analysis of the movement of goods from the point of production to the point of consumption."
"MARK","30233","Prerequisite: Grade of C- or higher in MARK 30153, a grade of C- or higher in MARK 30113, and must be a declared Business major.  To expose students to the analytical applications underlying many of the strategic marketing tools discussed at a conceptual level in lower-level marketing courses.  The course will be taught from the perspective of the marketing tool such as segmentation, with students' learning the relevant data analysis application, such as cluster analysis, to execute the marketing activity.  In addition to working through the analysis, analysis interpretation and relating results and recommendations to marketing management (i.e., decision makers) will also be covered."
"MARK","30243","Prerequisites: Grade of 'C-' or higher in MARK 30153; must be a declared Business major.  The most complex aspect of marketing is understanding the mind and heart of the consumer.  If consumer behavior was easy to explicate, then all products would sell as well as projected, all ads would be effective, economies would be efficient, and marketing would be a simple prospect.  In actuality, consumers are frustrating and irrational and difficult to predict.  This course focuses on providing you with the basic tools to gain insights into consumer behavior."
"MARK","30253","Prerequisites: MARK 30153 with a grade of C- or higher and be a declared business major.  Sports and Entertainment Marketing will build upon a marketing knowledge base and provide an overview of the issues faced by marketing managers both inside the sports and entertainment industry and outside the industry from firms that market through sports and entertainment.  Students will introduced to the unique qualities of the sports product and also examine the promotion mix, pricing, and distribution issues as they relate to the sports industry."
"MARK","30303","Prerequisites:  MARK 30153, must be a declared business major or permission of instructor or MABD student group.  Design thinking, or user centered design, is a framework for effective and creative problem solving.  In this course, students apply the framework to the creation of products, services and ideas through various design challenges."
"MARK","30653","Prerequisites:  Must be either a) a business minor with completion of ECON 10223 and completion or concurrent enrollment in  ACCT 20653 or b) admitted to the consultative selling certificate program or c) a Nutrition major with completion of ECON10223. Students may not receive credit for both MARK 30153 and MARK 30653. This course introduces the theory and practice of marketing, including the basic structure of getting products/services to market; the fundamentals of marketing: consumer research, product planning, promotion of all types, distribution channels, pricing, and retail merchandising.  The content will focus on marketing activities in consumer, reseller, industrial, government, and service markets.  This course is not for business majors."
"MARK","30990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"MARK","39990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"MARK","40030","Prerequisite: Departmental permission, and must be a declared Business major; Preparation for and completion of a departmental honors project in the student's area of concentration in business under the direction of an assigned faculty member.  May be taken for up to three credit hours."
"MARK","40103","Prerequisites: A grade of 'C-' or higher in MARK 30153 and must be a declared business major; a grade of 'C-' or higher, or concurrent enrollment in both MARK 30113 and MARK 30243.  As more money gets shifted away from traditional media and into digital and social media marketing, it is important that students understand how digital and social media marketing gets integrated into marketing strategy, branding, and integrated marketing communication concepts.  Broadly, digital marketing refers to everything that an organization does online to support its business.  This can include display advertising, social media, social media monitoring, search engine optimization and search engine marketing and other emerging ones as they develop.  However, the primary objective will be to examine: (1) driving business with digital marketing, (2) linking strategy to tactics, and (3) measuring outcomes and results."
"MARK","40143","Prerequisites:  A grade of 'C-' or higher in MARK 30153 and must be a business major; a grade of 'C-' or higher in MARK 30113 (Marketing Research) and a grade of 'C-' or higher or concurrent enrollment in MARK 30243 (Customer Insights).  This course focuses on the dynamic integration of artificial intelligence and automation in modern marketing. The course explores the powerful synergy between cutting-edge AI technologies and innovative marketing practices. During this course, we will cover both theoretical knowledge and hands-on applications, guiding students through the multifaceted world of AI-driven marketing, from the fundamentals of automation to advanced applications of machine learning in marketing strategy. It will equip you with the necessary knowledge and skills to harness these technologies to revolutionize customer engagement and drive business growth in today's data-driven landscape."
"MARK","40203","3 hours. Prerequisites: A grade of C- or higher in MARK 30153 and must be a declared business major; a grade of C- or higher in MARK 30113 (Marketing Research) and a grade of C- or higher or concurrent enrollment in MARK 30243 (Customer Insights).  The course is designed to provide a cohesive understanding of marketing from a managerial perspective through the exploration of marketing problems (using case analysis and other methods) via qualitative and quantitative analysis of the situation, integrative marketing program evaluation and planning, and marketing implementation recommendations. Must have senior standing."
"MARK","40213","3 hours. Prerequisites:  A grade of C- or higher in MARK 30153 and must be a declared business major.  This course introduces the field of international marketing and provides a broad perspective from which to explore and examine various aspects of what changes when firms compete internationally. Half the course focuses on unique aspects of the international marketing environment; half concentrates on how the marketing mix is affected by the globalization of markets and competitors."
"MARK","40223","Prerequisites: A grade of C- or higher in MARK 30153 and must be a declared business major.  The primary objective of this course is to prepare students to be able to successfully design and deliver exceptional service experiences in an increasingly service-oriented economy.  The course is designed to help students understand the unique characteristics of services, the marketing, people, and process challenges created by these characteristics, and effective ways to address these challenges to create differentiated customer value."
"MARK","40233","Prerequisites: A grade of C- or higher in MARK 30153 and must be a declared business major; a grade of C- or higher or concurrent enrollment in MARK 30243 (Customer Insights).  Course explores the strategic, organizational, process, and implementation issues involved in coordinating multiple forms of communications and media used for marketing campaigns--traditional advertising, direct marketing, interactive, public relations, sales promotion, personal selling, event marketing, and every other contact point with a target market."
"MARK","40243","Prerequisites: A grade of C- or higher in MARK 30153 and must be a declared business major; a grade of C- or higher in MARK 30113 (Marketing Research) and a grade of C- or higher or concurrent enrollment in MARK 30243 (Customer Insights).  Companies must continuously develop and bring to the market new and improved products.  We will study new product planning and management of both goods and services.  New Product planning and management of the product Portfolio are essential activities in all companies, and involve various business functions and external partners.  We look at the concepts and applications involved in managing an organization's brand portfolio.  An understanding of new product planning and brand portfolio management is an essential capability for many positions in business."
"MARK","40263","Prerequisites: A grade of C- or higher in MARK 30153 or 30653.  Must be a declared business major or admitted to the consultative selling certificate program.  There are several learning objectives for students in Foundations of Selling.  Primary to the course is the student's mastery of communication and presentation skills in the interpersonal and formal speaking environments.  One part of the course covers the text materials providing the student with a background in the fundamental aspects of persuasive communications, overcoming objections, and presentation planning.  Once these topics are mastered, the student then executes a persuasive and formal sales presentation, which is videotaped and critiqued.  Also, this course is designed to provide an understanding of the sales process and its role in business (and non-business) organizations and society.  The student is expected to acquire a working knowledge of sales concepts and terminology pertinent to the field.  You will explore the nature of the sales process and its functions, including presentation strategy, informative delivery, closing techniques, and an exploration of the various opportunities in sales as a career.  We will also cover areas such as personal attire, speaking skills, and interpersonal transactions.   Your most important assignment in this class is to sell yourself- and to do that you must believe in the product."
"MARK","40273","Prerequisites: Grade of 'C-' or higher in MARK 30153 or 30653. Grade of 'B' or higher in MARK 40263. Must be a declared business major or admitted to the consultative selling certificate program.  This class will seek to prepare students more fully for excellence in an entry-level professional selling position.  Specifically, students will gain advanced instruction and skill development in interpersonal communication skills (especially in team selling situations), career management, personal productivity, negotiation, and coordination with other functional areas.  One and a half hour lecture and one and a half hour laboratory period per week."
"MARK","40770","Prerequisites:  1.5 credits  Departmental permission.  MARK 40273 or MARK 40263 or current enrollment in either.  May be repeated one time for credit.  The sales practicum requirement combines practical sales experience and sales education.  Students will participate in a series of out-of-class, experiential learning activities that include shadowing salespeople and sales managers, on-site visiting of sales organizations, participating in sales competitions, participating in live selling activities, attending sales-related events or presentations, networking with sales professionals, and interviewing sales professionals."
"MARK","40970","1-3 hours. Prerequisites: A grade of ""C-"" or higher in MARK 30153 and must be a declared business major; a grade of ""C-"" or higher in MARK 30113 (Marketing Research) and a grade of ""C-"" or higher or concurrent enrollment in MARK 30243 (Customer Insights).  This course may be repeated for credit."
"MATH","10000","General Transfer Credit MTH TCU-CC"
"MATH","10010","General Transfer Credit"
"MATH","10033","A selection of topics of general interest and some degree of applicability, such as apportionment, voting methods, graph theory, tilings and polyhedra, mathematics of finance, probability, and statistics.  Students are expected to have mathematical background equivalent to college algebra or two years of high school algebra and one year of geometry."
"MATH","10043","Empirical frequency distributions, binomial and normal distributions. Regression and correlation. Statistical inference.  Students are expected to have mathematical background equivalent to college algebra or two years of high school algebra. 
Students may not receive credit for both MATH 10043 and INSC 20153."
"MATH","10054","Precalculus treatment of polynomial, rational, exponential, logarithmic, and trigonometric functions with particular emphasis on topics needed for MATH 10524. 
Students are expected to have mathematical background equivalent to college algebra or two years of high school algebra and one year of geometry.  Notes: Credit will not be given for both MATH 10273 and MATH 10054.  This course does not satisfy the Core Curriculum's Mathematical Reasoning requirement."
"MATH","10200","General Transfer Credit"
"MATH","10273","Precalculus treatment of polynomial, rational, exponential and logarithmic functions. Additional special applications from the mathematics of finance and probability. 
Students are expected to have mathematical background equivalent to college algebra or two years of high school algebra.  Notes: Credit will not be given for both MATH 10054 and MATH 10273.  This course does not satisfy the Core Curriculum's Mathematical Reasoning requirement."
